Country,AQI Value,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Unnamed: 20,Unnamed: 21,Unnamed: 22
monaco,56.0,WESTERN EUROPE                     ,32543.0,2.0,"16271,5","205,00","7,75","5,43",27000,"99,0","1035,6",0,0,100,,"9,19","12,91","0,17",,,,,
mongolia,52.57142857142857,ASIA (EX. NEAR EAST)         ,2832224.0,1564116.0,"1,8","0,00",0,"53,79",1800,"97,8","55,1","0,77",0,"99,23",1,"21,59","6,95","0,206","0,214","0,58",,,
montenegro,60.0,,,,,,,,,,,,,,,,,,,,,,
morocco,51.083333333333336,NORTHERN AFRICA                    ,33241259.0,446550.0,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4","19,61","2,17","78,22",,"21,98","5,58","0,217","0,357","0,426",,,
mozambique,36.2,SUB-SAHARAN AFRICA                 ,19686505.0,801590.0,"24,6","0,31",0,"130,79",1200,"47,8","3,5","5,1","0,3","94,6",2,"35,18","21,35","0,262","0,348","0,39",,,
myanmar,36.625,,,,,,,,,,,,,,,,,,,,,,
namibia,59.38461538461539,SUB-SAHARAN AFRICA                 ,2044147.0,825418.0,"2,5","0,19",0,"48,98",7200,"84,0","62,6","0,99",0,"99,01",1,"24,32","18,86","0,097","0,315","0,588",,,
nepal,108.33333333333333,ASIA (EX. NEAR EAST)         ,28287147.0,147181.0,"192,2","0,00",0,"66,98",1400,"45,2","15,9","21,68","0,64","77,68",,"30,98","9,31","0,38","0,21","0,41",,,
netherlands,38.0188679245283,WESTERN EUROPE                     ,16491461.0,41526.0,"397,1","1,09","2,91","5,04",28600,"99,0","460,8","26,71","0,97","72,32",3,"10,9","8,68","0,021","0,244","0,736",,,
new zealand,28.285714285714285,OCEANIA                            ,4076140.0,268680.0,"15,2","5,63","4,05","5,85",21600,"99,0","441,7","5,6","6,99","87,41",3,"13,76","7,53","0,043","0,273","0,684",,,
nicaragua,49.875,LATIN AMER. & CARIB    ,5570129.0,129494.0,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12",2,"24,51","4,45","0,165","0,275","0,56",,,
niger,76.92307692307692,SUB-SAHARAN AFRICA                 ,12525094.0,1267000.0,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45",1,"50,73","20,91","0,39","0,17","0,44",,,
nigeria,96.91666666666667,SUB-SAHARAN AFRICA                 ,131859731.0,923768.0,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244",,,
norway,36.46666666666667,WESTERN EUROPE                     ,4610820.0,323802.0,"14,2","7,77","1,74","3,7",37800,"100,0","461,7","2,87",0,"97,13",3,"11,46","9,4","0,021","0,415","0,564",,,
oman,155.0,NEAR EAST                          ,3102229.0,212460.0,"14,6","0,98","0,28","19,51",13100,"75,8","85,5",0,"0,14","99,74",1,"36,24","3,81","0,027","0,39","0,583",,,
pakistan,184.2,ASIA (EX. NEAR EAST)         ,165803560.0,803940.0,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26",1,"29,74","8,23","0,216","0,251","0,533",,,
palau,16.0,OCEANIA                            ,20579.0,458.0,"44,9","331,66","2,85","14,84",9000,"92,0","325,6","8,7","4,35","86,95",2,"18,03","6,8","0,062","0,12","0,818",,,
panama,68.6923076923077,LATIN AMER. & CARIB    ,3191319.0,78200.0,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36","0,068","0,156","0,776",,,
papua new guinea,24.733333333333334,OCEANIA                            ,5670544.0,462840.0,"12,3","1,11",0,"51,45",2200,"64,6","10,9","0,46","1,44","98,1",2,"29,36","7,25","0,353","0,381","0,266",,,
paraguay,45.09090909090909,LATIN AMER. & CARIB    ,6506464.0,406750.0,"16,0","0,00","-0,08","25,63",4700,"94,0","49,2","7,6","0,23","92,17",2,"29,1","4,49","0,224","0,207","0,569",,,
peru,38.869565217391305,LATIN AMER. & CARIB    ,28302603.0,1285220.0,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65",,,
philippines,69.60445682451254,ASIA (EX. NEAR EAST)         ,89468677.0,300000.0,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28",2,"24,89","5,41","0,144","0,326","0,53",,,
poland,50.48170731707317,EASTERN EUROPE                     ,38536869.0,312685.0,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","45,91","1,12","52,97",3,"9,85","9,89","0,05","0,311","0,64",,,
portugal,33.71621621621622,WESTERN EUROPE                     ,10605870.0,92391.0,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","21,75","7,81","70,44",3,"10,72","10,5","0,053","0,274","0,673",,,
qatar,164.0,NEAR EAST                          ,885359.0,11437.0,"77,4","4,92","16,29","18,61",21500,"82,5","232,0","1,64","0,27","98,09",1,"15,56","4,72","0,002","0,801","0,197",,,
republic of korea,421.0,,,,,,,,,,,,,,,,,,,,,,
republic of moldova,49.588235294117645,,,,,,,,,,,,,,,,,,,,,,
republic of north macedonia,63.516129032258064,,,,,,,,,,,,,,,,,,,,,,
romania,55.35164835164835,EASTERN EUROPE                     ,22303552.0,237500.0,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","40,82","2,25","56,93",3,"10,7","11,77","0,101","0,35","0,549",,,
russian federation,42.227221597300336,,,,,,,,,,,,,,,,,,,,,,
rwanda,93.53846153846153,SUB-SAHARAN AFRICA                 ,8648248.0,26338.0,"328,4","0,00",0,"91,23",1300,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09","0,401","0,229","0,37",,,
saint kitts and nevis,90.0,,,,,,,,,,,,,,,,,,,,,,
saint lucia,79.0,LATIN AMER. & CARIB    ,168458.0,616.0,"273,5","25,65","-2,67","13,53",5400,"67,0","303,3","6,56","22,95","70,49",2,"19,68","5,08","0,07","0,2","0,73",,,
saudi arabia,168.0,NEAR EAST                          ,27019731.0,1960582.0,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24",1,"29,34","2,58","0,033","0,613","0,354",,,
senegal,153.61111111111111,SUB-SAHARAN AFRICA                 ,11987121.0,196190.0,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01",2,"32,78","9,42","0,172","0,209","0,619",,,
serbia,69.22222222222223,EASTERN EUROPE                     ,9396411.0,88361.0,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45",,,,"0,166","0,255","0,579",,,
seychelles,26.0,SUB-SAHARAN AFRICA                 ,81541.0,455.0,"179,2","107,91","-5,69","15,53",7800,"58,0","262,4","2,22","13,33","84,45",2,"16,03","6,29","0,032","0,304","0,665",,,
sierra leone,42.9375,SUB-SAHARAN AFRICA                 ,6005250.0,71740.0,"83,7","0,56",0,"143,64",500,"31,4","4,0","6,98","0,89","92,13",2,"45,76","23,03","0,49","0,31","0,21",,,
singapore,91.0,ASIA (EX. NEAR EAST)         ,4492150.0,693.0,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64",0,"98,36",2,"9,34","4,28",0,"0,339","0,661",,,
